Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,Review,Positive,Neutral,Negative,Compound,Sentiment
ID0045,Diane,2021-01-01,15:44:38,Admin Support,Y,Y,25.0,00:05:13,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0046,Jim,2021-01-01,15:44:38,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0047,Dan,2021-01-01,17:13:55,Admin Support,Y,Y,107.0,00:02:22,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0048,Martha,2021-01-01,17:13:55,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0049,Joe,2021-01-01,17:25:26,Technical Support,Y,Y,104.0,00:03:35,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0050,Dan,2021-01-01,17:25:26,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0051,Martha,2021-01-01,17:35:31,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0052,Jim,2021-01-01,17:35:31,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0053,Stewart,2021-01-01,17:36:58,Payment related,Y,Y,13.0,00:01:15,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0054,Dan,2021-01-01,17:36:58,Payment related,Y,Y,119.0,00:02:32,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0055,Becky,2021-01-01,17:44:10,Streaming,Y,Y,35.0,00:01:19,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0056,Dan,2021-01-01,17:44:10,Streaming,Y,Y,83.0,00:06:45,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0057,Jim,2021-01-01,17:57:07,Technical Support,Y,Y,48.0,00:02:52,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0058,Stewart,2021-01-01,17:57:07,Admin Support,Y,Y,45.0,00:03:23,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0059,Dan,2021-01-02,09:05:46,Technical Support,Y,Y,65.0,00:06:00,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0060,Dan,2021-01-02,09:05:46,Contract related,Y,Y,50.0,00:04:26,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0061,Diane,2021-01-02,09:18:43,Streaming,Y,Y,17.0,00:06:15,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0062,Joe,2021-01-02,09:18:43,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0063,Dan,2021-01-02,09:20:10,Streaming,Y,Y,96.0,00:06:46,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0064,Stewart,2021-01-02,09:20:10,Streaming,Y,Y,90.0,00:06:23,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0065,Jim,2021-01-02,09:38:53,Contract related,Y,Y,98.0,00:06:25,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0066,Diane,2021-01-02,09:38:53,Technical Support,Y,N,90.0,00:01:23,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0067,Jim,2021-01-02,10:04:48,Contract related,Y,Y,98.0,00:05:49,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0068,Jim,2021-01-02,10:04:48,Contract related,Y,Y,70.0,00:03:12,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0069,Diane,2021-01-02,10:33:36,Contract related,Y,Y,69.0,00:04:45,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0070,Diane,2021-01-02,10:33:36,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0071,Joe,2021-01-02,11:08:10,Technical Support,Y,Y,120.0,00:02:11,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0072,Stewart,2021-01-02,11:08:10,Admin Support,Y,Y,113.0,00:05:51,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0073,Greg,2021-01-02,11:26:53,Payment related,Y,N,10.0,00:02:19,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0074,Becky,2021-01-02,11:26:53,Contract related,Y,Y,122.0,00:04:53,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0075,Stewart,2021-01-02,11:42:43,Technical Support,Y,N,125.0,00:01:38,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0076,Diane,2021-01-02,11:42:43,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0077,Martha,2021-01-02,11:47:02,Technical Support,Y,Y,33.0,00:06:38,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0078,Dan,2021-01-02,11:47:02,Contract related,Y,Y,51.0,00:06:22,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0079,Becky,2021-01-02,11:54:14,Contract related,Y,Y,58.0,00:03:28,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0080,Dan,2021-01-02,11:54:14,Admin Support,Y,Y,121.0,00:04:47,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0081,Diane,2021-01-02,12:00:00,Admin Support,Y,Y,118.0,00:02:06,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0082,Greg,2021-01-02,12:00:00,Payment related,Y,Y,52.0,00:06:56,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0083,Stewart,2021-01-02,12:20:10,Admin Support,Y,Y,55.0,00:04:44,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0084,Dan,2021-01-02,12:20:10,Contract related,Y,Y,68.0,00:05:59,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0085,Becky,2021-01-02,12:41:46,Technical Support,Y,Y,106.0,00:04:22,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0086,Martha,2021-01-02,12:41:46,Technical Support,Y,Y,32.0,00:04:36,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0087,Jim,2021-01-02,12:44:38,Payment related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0088,Martha,2021-01-02,12:44:38,Admin Support,Y,N,45.0,00:01:26,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0089,Joe,2021-01-02,12:59:02,Technical Support,Y,Y,119.0,00:03:32,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0090,Dan,2021-01-02,12:59:02,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0091,Jim,2021-01-02,13:03:22,Contract related,Y,Y,46.0,00:05:41,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0092,Stewart,2021-01-02,13:03:22,Technical Support,Y,Y,101.0,00:01:28,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0093,Jim,2021-01-02,13:04:48,Technical Support,Y,Y,56.0,00:02:52,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0094,Becky,2021-01-02,13:04:48,Technical Support,Y,Y,80.0,00:00:53,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0095,Diane,2021-01-02,13:13:26,Streaming,Y,Y,24.0,00:01:36,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0096,Stewart,2021-01-02,13:13:26,Payment related,Y,Y,113.0,00:03:54,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0097,Greg,2021-01-02,13:20:38,Contract related,Y,Y,19.0,00:02:03,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0098,Martha,2021-01-02,13:20:38,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0099,Dan,2021-01-02,13:20:38,Contract related,Y,Y,45.0,00:06:37,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0100,Diane,2021-01-02,13:20:38,Technical Support,Y,Y,95.0,00:05:11,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0101,Becky,2021-01-02,13:45:07,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0102,Martha,2021-01-02,13:45:07,Technical Support,Y,N,79.0,00:05:31,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0103,Diane,2021-01-02,13:49:26,Payment related,Y,Y,22.0,00:03:56,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0104,Martha,2021-01-02,13:49:26,Contract related,Y,Y,38.0,00:06:36,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0105,Becky,2021-01-02,13:53:46,Technical Support,Y,Y,112.0,00:03:25,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0106,Becky,2021-01-02,13:53:46,Payment related,Y,Y,65.0,00:04:57,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0107,Joe,2021-01-02,14:22:34,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0108,Becky,2021-01-02,14:22:34,Contract related,Y,N,55.0,00:02:32,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0109,Stewart,2021-01-02,14:52:48,Admin Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0110,Joe,2021-01-02,14:52:48,Streaming,Y,Y,19.0,00:02:38,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0111,Becky,2021-01-02,15:10:05,Technical Support,Y,Y,53.0,00:00:56,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0112,Diane,2021-01-02,15:10:05,Technical Support,Y,Y,24.0,00:06:06,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0113,Martha,2021-01-02,15:36:00,Streaming,Y,Y,73.0,00:06:01,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0114,Stewart,2021-01-02,15:36:00,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0115,Jim,2021-01-02,17:36:58,Technical Support,Y,Y,55.0,00:05:47,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0116,Greg,2021-01-02,17:36:58,Payment related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0117,Diane,2021-01-02,17:47:02,Streaming,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0118,Martha,2021-01-02,17:47:02,Streaming,Y,Y,23.0,00:05:18,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0119,Dan,2021-01-03,09:10:05,Payment related,Y,N,124.0,00:02:23,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0120,Dan,2021-01-03,09:10:05,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0121,Dan,2021-01-03,09:47:31,Technical Support,Y,Y,103.0,00:01:01,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0122,Martha,2021-01-03,09:47:31,Contract related,Y,Y,69.0,00:03:45,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0123,Joe,2021-01-03,10:29:17,Streaming,Y,Y,78.0,00:01:12,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0124,Martha,2021-01-03,10:29:17,Technical Support,Y,Y,78.0,00:03:26,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0125,Martha,2021-01-03,10:37:55,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0126,Diane,2021-01-03,10:37:55,Payment related,Y,Y,44.0,00:05:38,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0127,Martha,2021-01-03,10:52:19,Admin Support,Y,Y,35.0,00:02:46,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0128,Becky,2021-01-03,10:52:19,Admin Support,Y,Y,102.0,00:05:26,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0129,Jim,2021-01-03,10:52:19,Contract related,Y,Y,99.0,00:05:51,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0130,Jim,2021-01-03,10:52:19,Admin Support,Y,Y,29.0,00:04:09,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0131,Becky,2021-01-03,10:58:05,Admin Support,Y,N,42.0,00:00:59,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0132,Diane,2021-01-03,10:58:05,Payment related,Y,Y,113.0,00:05:40,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0133,Dan,2021-01-03,11:02:24,Admin Support,Y,Y,124.0,00:00:53,2.0,"Resolved the Issue, Didn't Resolve the Issue, Responded Poorly, Took so  much time to resolve ",0.233,0.649,0.118,0.2769,Positive
ID0134,Jim,2021-01-03,11:02:24,Technical Support,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0135,Dan,2021-01-03,11:03:50,Payment related,Y,Y,55.0,00:02:13,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0136,Greg,2021-01-03,11:03:50,Technical Support,Y,N,105.0,00:05:59,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0137,Stewart,2021-01-03,11:06:43,Contract related,Y,N,112.0,00:03:12,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0138,Martha,2021-01-03,11:06:43,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0139,Becky,2021-01-03,11:16:48,Technical Support,Y,Y,43.0,00:06:20,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0140,Joe,2021-01-03,11:16:48,Payment related,Y,Y,20.0,00:01:44,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0141,Greg,2021-01-03,11:26:53,Technical Support,Y,Y,84.0,00:01:43,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0142,Jim,2021-01-03,11:26:53,Contract related,Y,Y,20.0,00:02:44,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0143,Greg,2021-01-03,11:38:24,Streaming,Y,Y,101.0,00:02:16,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0144,Diane,2021-01-03,11:38:24,Technical Support,Y,Y,31.0,00:02:55,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0145,Jim,2021-01-03,11:52:48,Contract related,Y,Y,56.0,00:04:09,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0146,Joe,2021-01-03,11:52:48,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0147,Joe,2021-01-03,11:55:41,Payment related,Y,Y,77.0,00:01:27,5.0,"Resolved the Issue, Very Polite, Happy with the Work ",0.448,0.552,0.0,0.6887,Positive
ID0148,Jim,2021-01-03,11:55:41,Payment related,Y,Y,46.0,00:00:50,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
ID0149,Stewart,2021-01-03,11:58:34,Admin Support,Y,Y,88.0,00:04:26,3.0,"Talked with patience, Tried to resolve the issue, Resolved the Issue",0.323,0.677,0.0,0.5106,Positive
ID0150,Diane,2021-01-03,11:58:34,Payment related,Y,Y,88.0,00:00:58,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0151,Joe,2021-01-03,12:33:07,Technical Support,Y,Y,124.0,00:06:03,1.0,"Extremely Disapponted, Didnt Resolved the Issue ",0.0,0.737,0.263,-0.1978,Negative
ID0152,Stewart,2021-01-03,12:33:07,Contract related,N,N,,,,"Worst, Call Not Picked",0.0,0.423,0.577,-0.6249,Negative
ID0153,Martha,2021-01-03,12:54:43,Payment related,Y,N,52.0,00:06:59,4.0,"Resolved the Issue, Satisfactory",0.677,0.323,0.0,0.4939,Positive
